method,h,case,case_name,overall_mae,overall_rmse,runtime_ms,mae_y_hif,mae_y_o2,mae_y_p300,mae_y_p53,mae_y_casp,mae_y_kp,rmse_y_hif,rmse_y_o2,rmse_y_p300,rmse_y_p53,rmse_y_casp,rmse_y_kp
Euler,0.01,1,Base IC (y_hif=1) constant a12,0.000046,0.000077,107.431,0.000032,0.000089,0.000032,0.000014,0.000081,0.000027,0.000047,0.000130,0.000048,0.000017,0.000109,0.000040
Euler,0.01,2,Zero IC constant a12,0.000045,0.000069,101.219,0.000038,0.000080,0.000038,0.000021,0.000063,0.000030,0.000049,0.000115,0.000056,0.000031,0.000084,0.000039
Euler,0.01,3,Base IC a12*exp(-0.1t),0.001594,0.003844,120.507,0.000729,0.003576,0.002631,0.000039,0.000075,0.002516,0.001358,0.006601,0.004692,0.000059,0.000098,0.004604
Euler,0.10,1,Base IC (y_hif=1) constant a12,0.000329,0.000644,10.579,0.000163,0.000668,0.000278,0.000147,0.000595,0.000123,0.000272,0.001111,0.000432,0.000241,0.000946,0.000192
Euler,0.10,2,Zero IC constant a12,0.000317,0.000607,9.880,0.000157,0.000608,0.000278,0.000153,0.000577,0.000127,0.000252,0.001003,0.000425,0.000261,0.000921,0.000213
Euler,0.10,3,Base IC a12*exp(-0.1t),0.001614,0.003708,11.508,0.000600,0.003004,0.002378,0.000172,0.000476,0.003053,0.001134,0.005625,0.004316,0.000290,0.000793,0.005498
RK4,0.10,1,Base IC (y_hif=1) constant a12,,0.0000150,0.0000035,26.07,,,,,,,,,,,,
RK4,0.10,2,All-Zero ICs,,0.0000126,0.0000038,25.89,,,,,,,,,,,,
RK4,0.10,3,Exp a12,,0.0000150,0.0000031,26.70,,,,,,,,,,,,
RK4,0.01,1,Base IC (y_hif=1) constant a12,,0.0000142,0.0000035,247.36,,,,,,,,,,,,
RK4,0.01,2,All-Zero ICs,,0.0000143,0.0000037,242.28,,,,,,,,,,,,
RK4,0.01,3,Exp a12,,0.0000143,0.0000031,258.82,,,,,,,,,,,,
